data,categoria,produto,quantidade,preco_unitario,custo_unitario,mesa,forma_pagamento
2024-01-02,Massa,Fettuccine Alfredo,2,42.00,14.00,5,Cartão Crédito
2024-01-02,Bebida,Vinho Tinto (taça),3,18.00,5.00,5,Cartão Crédito
2024-01-02,Massa,Lasanha Bolonhesa,1,48.00,16.00,3,Dinheiro
2024-01-03,Pizza,Pizza Margherita,2,55.00,18.00,7,Pix
2024-01-03,Sobremesa,Tiramisù,3,22.00,7.00,7,Pix
2024-01-03,Bebida,Água Mineral,4,8.00,1.50,2,Cartão Débito
2024-01-04,Massa,Penne ao Pomodoro,2,36.00,12.00,1,Dinheiro
2024-01-04,Carne,Ossobuco,1,78.00,28.00,4,Cartão Crédito
2024-01-05,Pizza,Pizza Quatro Queijos,1,62.00,20.00,6,Cartão Crédito
2024-01-05,Bebida,Suco de Laranja,2,12.00,3.00,6,Cartão Crédito
2024-01-06,Massa,Espaguete Carbonara,3,44.00,15.00,8,Pix
2024-01-06,Sobremesa,Panna Cotta,2,20.00,6.00,8,Pix
2024-01-07,Carne,Filé ao Molho Funghi,2,85.00,30.00,9,Cartão Crédito
2024-01-07,Bebida,Cerveja Artesanal,4,15.00,5.00,9,Dinheiro
2024-01-08,Pizza,Pizza Calabresa,2,52.00,17.00,2,Cartão Débito
2024-01-10,Massa,Fettuccine Alfredo,1,42.00,14.00,3,Pix
2024-01-10,Bebida,Vinho Branco (taça),2,18.00,5.00,3,Pix
2024-01-11,Carne,Costela ao Vinho,1,92.00,33.00,5,Cartão Crédito
2024-01-12,Pizza,Pizza Margherita,3,55.00,18.00,7,Cartão Crédito
2024-01-13,Sobremesa,Cannoli,4,18.00,5.50,1,Dinheiro
2024-01-14,Massa,Lasanha Bolonhesa,2,48.00,16.00,4,Cartão Débito
2024-01-15,Bebida,Limonada,3,10.00,2.50,6,Pix
2024-01-17,Pizza,Pizza Quatro Queijos,2,62.00,20.00,8,Cartão Crédito
2024-01-18,Carne,Ossobuco,2,78.00,28.00,2,Cartão Crédito
2024-01-19,Massa,Penne ao Pomodoro,3,36.00,12.00,9,Dinheiro
2024-01-20,Sobremesa,Tiramisù,2,22.00,7.00,3,Pix
2024-01-21,Bebida,Cerveja Artesanal,5,15.00,5.00,7,Dinheiro
2024-01-22,Pizza,Pizza Calabresa,1,52.00,17.00,5,Cartão Débito
2024-01-24,Massa,Espaguete Carbonara,2,44.00,15.00,1,Cartão Crédito
2024-01-25,Carne,Filé ao Molho Funghi,1,85.00,30.00,4,Cartão Crédito
2024-01-26,Bebida,Vinho Tinto (taça),4,18.00,5.00,6,Pix
2024-01-28,Sobremesa,Panna Cotta,3,20.00,6.00,8,Cartão Crédito
2024-01-29,Pizza,Pizza Margherita,2,55.00,18.00,9,Pix
2024-01-30,Massa,Fettuccine Alfredo,2,42.00,14.00,2,Dinheiro
2024-02-01,Carne,Costela ao Vinho,2,92.00,33.00,5,Cartão Crédito
2024-02-02,Pizza,Pizza Quatro Queijos,3,62.00,20.00,3,Cartão Crédito
2024-02-03,Bebida,Suco de Laranja,4,12.00,3.00,7,Pix
2024-02-04,Massa,Lasanha Bolonhesa,2,48.00,16.00,1,Cartão Débito
2024-02-05,Sobremesa,Tiramisù,3,22.00,7.00,4,Dinheiro
2024-02-07,Carne,Ossobuco,1,78.00,28.00,6,Cartão Crédito
2024-02-08,Pizza,Pizza Calabresa,2,52.00,17.00,8,Pix
2024-02-09,Massa,Espaguete Carbonara,3,44.00,15.00,2,Cartão Crédito
2024-02-10,Bebida,Limonada,2,10.00,2.50,9,Dinheiro
2024-02-11,Sobremesa,Cannoli,3,18.00,5.50,3,Pix
2024-02-12,Carne,Filé ao Molho Funghi,2,85.00,30.00,5,Cartão Crédito
2024-02-14,Pizza,Pizza Margherita,4,55.00,18.00,7,Cartão Crédito
2024-02-14,Bebida,Vinho Tinto (taça),6,18.00,5.00,7,Cartão Crédito
2024-02-14,Sobremesa,Tiramisù,4,22.00,7.00,7,Cartão Crédito
2024-02-15,Massa,Fettuccine Alfredo,3,42.00,14.00,1,Pix
2024-02-16,Carne,Costela ao Vinho,1,92.00,33.00,4,Cartão Crédito
2024-02-18,Pizza,Pizza Quatro Queijos,2,62.00,20.00,6,Cartão Débito
2024-02-19,Bebida,Cerveja Artesanal,6,15.00,5.00,8,Dinheiro
2024-02-20,Massa,Penne ao Pomodoro,2,36.00,12.00,2,Pix
2024-02-21,Sobremesa,Panna Cotta,2,20.00,6.00,9,Cartão Crédito
2024-02-22,Pizza,Pizza Calabresa,3,52.00,17.00,3,Pix
2024-02-23,Carne,Ossobuco,2,78.00,28.00,5,Cartão Crédito
2024-02-25,Massa,Lasanha Bolonhesa,1,48.00,16.00,7,Dinheiro
2024-02-26,Bebida,Vinho Branco (taça),3,18.00,5.00,1,Cartão Crédito
2024-02-27,Pizza,Pizza Margherita,2,55.00,18.00,4,Pix
2024-02-28,Sobremesa,Tiramisù,2,22.00,7.00,6,Cartão Débito
2024-03-01,Carne,Filé ao Molho Funghi,3,85.00,30.00,8,Cartão Crédito
2024-03-02,Pizza,Pizza Quatro Queijos,2,62.00,20.00,2,Pix
2024-03-04,Massa,Espaguete Carbonara,4,44.00,15.00,9,Cartão Crédito
2024-03-05,Bebida,Suco de Laranja,3,12.00,3.00,3,Dinheiro
2024-03-06,Sobremesa,Cannoli,2,18.00,5.50,5,Pix
2024-03-07,Carne,Costela ao Vinho,2,92.00,33.00,7,Cartão Crédito
2024-03-08,Pizza,Pizza Calabresa,3,52.00,17.00,1,Cartão Débito
2024-03-10,Massa,Fettuccine Alfredo,3,42.00,14.00,4,Pix
2024-03-11,Bebida,Cerveja Artesanal,5,15.00,5.00,6,Dinheiro
2024-03-12,Carne,Ossobuco,1,78.00,28.00,8,Cartão Crédito
2024-03-13,Pizza,Pizza Margherita,3,55.00,18.00,2,Pix
2024-03-14,Massa,Lasanha Bolonhesa,2,48.00,16.00,9,Cartão Crédito
2024-03-15,Sobremesa,Tiramisù,4,22.00,7.00,3,Cartão Débito
2024-03-17,Carne,Filé ao Molho Funghi,2,85.00,30.00,5,Cartão Crédito
2024-03-18,Bebida,Limonada,4,10.00,2.50,7,Pix
2024-03-19,Pizza,Pizza Quatro Queijos,3,62.00,20.00,1,Cartão Crédito
2024-03-20,Massa,Penne ao Pomodoro,2,36.00,12.00,4,Dinheiro
2024-03-21,Sobremesa,Panna Cotta,3,20.00,6.00,6,Pix
2024-03-22,Carne,Costela ao Vinho,1,92.00,33.00,8,Cartão Crédito
2024-03-24,Pizza,Pizza Calabresa,2,52.00,17.00,2,Cartão Crédito
2024-03-25,Bebida,Vinho Tinto (taça),5,18.00,5.00,9,Pix
2024-03-26,Massa,Espaguete Carbonara,3,44.00,15.00,3,Cartão Crédito
2024-03-28,Sobremesa,Cannoli,3,18.00,5.50,5,Dinheiro
2024-03-29,Carne,Ossobuco,2,78.00,28.00,7,Cartão Crédito
2024-03-30,Pizza,Pizza Margherita,2,55.00,18.00,1,Pix
2024-04-01,Massa,Fettuccine Alfredo,2,42.00,14.00,4,Cartão Crédito
2024-04-02,Bebida,Suco de Laranja,3,12.00,3.00,6,Pix
2024-04-03,Carne,Filé ao Molho Funghi,2,85.00,30.00,8,Cartão Crédito
2024-04-04,Pizza,Pizza Quatro Queijos,2,62.00,20.00,2,Cartão Débito
2024-04-05,Sobremesa,Tiramisù,3,22.00,7.00,9,Dinheiro
2024-04-07,Massa,Lasanha Bolonhesa,3,48.00,16.00,3,Pix
2024-04-08,Bebida,Cerveja Artesanal,4,15.00,5.00,5,Dinheiro
2024-04-09,Carne,Costela ao Vinho,2,92.00,33.00,7,Cartão Crédito
2024-04-10,Pizza,Pizza Calabresa,3,52.00,17.00,1,Pix
2024-04-11,Massa,Penne ao Pomodoro,2,36.00,12.00,4,Cartão Crédito
2024-04-12,Sobremesa,Panna Cotta,2,20.00,6.00,6,Cartão Débito
2024-04-14,Carne,Ossobuco,3,78.00,28.00,8,Cartão Crédito
2024-04-15,Pizza,Pizza Margherita,4,55.00,18.00,2,Pix
2024-04-16,Bebida,Vinho Branco (taça),3,18.00,5.00,9,Cartão Crédito
2024-04-17,Massa,Espaguete Carbonara,2,44.00,15.00,3,Dinheiro
2024-04-18,Sobremesa,Cannoli,4,18.00,5.50,5,Pix
2024-04-19,Carne,Filé ao Molho Funghi,1,85.00,30.00,7,Cartão Crédito
2024-04-21,Pizza,Pizza Quatro Queijos,3,62.00,20.00,1,Cartão Crédito
2024-04-22,Bebida,Limonada,3,10.00,2.50,4,Pix
2024-04-23,Massa,Fettuccine Alfredo,2,42.00,14.00,6,Dinheiro
2024-04-24,Carne,Costela ao Vinho,1,92.00,33.00,8,Cartão Crédito
2024-04-25,Pizza,Pizza Calabresa,2,52.00,17.00,2,Cartão Débito
2024-04-26,Sobremesa,Tiramisù,3,22.00,7.00,9,Pix
2024-04-28,Massa,Lasanha Bolonhesa,2,48.00,16.00,3,Cartão Crédito
2024-04-29,Bebida,Cerveja Artesanal,6,15.00,5.00,5,Dinheiro
2024-04-30,Carne,Ossobuco,1,78.00,28.00,7,Cartão Crédito
2024-05-01,Pizza,Pizza Margherita,3,55.00,18.00,1,Pix
2024-05-02,Massa,Espaguete Carbonara,3,44.00,15.00,4,Cartão Crédito
2024-05-03,Sobremesa,Panna Cotta,2,20.00,6.00,6,Pix
2024-05-05,Carne,Filé ao Molho Funghi,3,85.00,30.00,8,Cartão Crédito
2024-05-06,Pizza,Pizza Quatro Queijos,2,62.00,20.00,2,Cartão Débito
2024-05-07,Bebida,Vinho Tinto (taça),5,18.00,5.00,9,Pix
2024-05-08,Massa,Penne ao Pomodoro,3,36.00,12.00,3,Dinheiro
2024-05-09,Sobremesa,Cannoli,3,18.00,5.50,5,Pix
2024-05-10,Carne,Costela ao Vinho,2,92.00,33.00,7,Cartão Crédito
2024-05-12,Pizza,Pizza Calabresa,3,52.00,17.00,1,Cartão Crédito
2024-05-13,Massa,Fettuccine Alfredo,3,42.00,14.00,4,Pix
2024-05-14,Bebida,Suco de Laranja,4,12.00,3.00,6,Dinheiro
2024-05-15,Carne,Ossobuco,2,78.00,28.00,8,Cartão Crédito
2024-05-16,Pizza,Pizza Margherita,4,55.00,18.00,2,Pix
2024-05-17,Sobremesa,Tiramisù,4,22.00,7.00,9,Cartão Crédito
2024-05-19,Massa,Lasanha Bolonhesa,3,48.00,16.00,3,Cartão Débito
2024-05-20,Bebida,Cerveja Artesanal,7,15.00,5.00,5,Dinheiro
2024-05-21,Carne,Filé ao Molho Funghi,2,85.00,30.00,7,Cartão Crédito
2024-05-22,Pizza,Pizza Quatro Queijos,3,62.00,20.00,1,Pix
2024-05-23,Bebida,Limonada,4,10.00,2.50,4,Cartão Crédito
2024-05-24,Sobremesa,Panna Cotta,3,20.00,6.00,6,Pix
2024-05-26,Massa,Espaguete Carbonara,4,44.00,15.00,8,Cartão Crédito
2024-05-27,Carne,Costela ao Vinho,2,92.00,33.00,2,Cartão Crédito
2024-05-28,Pizza,Pizza Calabresa,2,52.00,17.00,9,Dinheiro
2024-05-29,Bebida,Vinho Branco (taça),4,18.00,5.00,3,Pix
2024-05-30,Massa,Penne ao Pomodoro,3,36.00,12.00,5,Cartão Crédito
2024-06-01,Carne,Ossobuco,2,78.00,28.00,7,Cartão Crédito
2024-06-02,Pizza,Pizza Margherita,3,55.00,18.00,1,Pix
2024-06-03,Sobremesa,Tiramisù,3,22.00,7.00,4,Dinheiro
2024-06-04,Massa,Fettuccine Alfredo,3,42.00,14.00,6,Cartão Crédito
2024-06-05,Bebida,Cerveja Artesanal,8,15.00,5.00,8,Dinheiro
2024-06-06,Carne,Filé ao Molho Funghi,3,85.00,30.00,2,Cartão Crédito
2024-06-07,Pizza,Pizza Quatro Queijos,4,62.00,20.00,9,Pix
2024-06-09,Sobremesa,Cannoli,4,18.00,5.50,3,Cartão Crédito
2024-06-10,Massa,Lasanha Bolonhesa,3,48.00,16.00,5,Cartão Débito
2024-06-11,Bebida,Vinho Tinto (taça),6,18.00,5.00,7,Pix
2024-06-12,Carne,Costela ao Vinho,3,92.00,33.00,1,Cartão Crédito
2024-06-13,Pizza,Pizza Calabresa,3,52.00,17.00,4,Cartão Crédito
2024-06-14,Massa,Espaguete Carbonara,4,44.00,15.00,6,Pix
2024-06-16,Sobremesa,Panna Cotta,3,20.00,6.00,8,Cartão Crédito
2024-06-17,Bebida,Suco de Laranja,4,12.00,3.00,2,Dinheiro
2024-06-18,Carne,Ossobuco,2,78.00,28.00,9,Cartão Crédito
2024-06-19,Pizza,Pizza Margherita,4,55.00,18.00,3,Pix
2024-06-20,Massa,Penne ao Pomodoro,3,36.00,12.00,5,Cartão Crédito
2024-06-21,Sobremesa,Tiramisù,4,22.00,7.00,7,Cartão Débito
2024-06-23,Bebida,Limonada,5,10.00,2.50,1,Pix
2024-06-24,Carne,Filé ao Molho Funghi,3,85.00,30.00,4,Cartão Crédito
2024-06-25,Pizza,Pizza Quatro Queijos,4,62.00,20.00,6,Cartão Crédito
2024-06-26,Massa,Fettuccine Alfredo,4,42.00,14.00,8,Pix
2024-06-27,Bebida,Cerveja Artesanal,8,15.00,5.00,2,Dinheiro
2024-06-28,Sobremesa,Cannoli,4,18.00,5.50,9,Pix
2024-06-29,Carne,Costela ao Vinho,3,92.00,33.00,3,Cartão Crédito
2024-06-30,Pizza,Pizza Calabresa,4,52.00,17.00,5,Cartão Crédito
